"동별(1)",동별(2),2025 1/4,2025 1/4
"동별(1)",동별(2),계 (명),65세이상고령자 (명)
"합계",소계,9602826,1853676
"합계",종로구,149478,30242
"합계",중구,130418,27148
"합계",용산구,216537,39856
"합계",성동구,281062,51907
"합계",광진구,348660,60780
"합계",동대문구,361950,70498
"합계",중랑구,384320,84905
"합계",성북구,433569,84607
"합계",강북구,288797,72369
"합계",도봉구,305391,75363
"합계",노원구,495111,101968
"합계",은평구,464466,99434
"합계",서대문구,318085,60956
"합계",마포구,371852,60795
"합계",양천구,432901,81753
"합계",강서구,560094,109257
"합계",구로구,410727,85391
"합계",금천구,238431,48898
"합계",영등포구,396834,71660
"합계",동작구,386897,74258
"합계",관악구,497213,90299
"합계",서초구,412715,69429
"합계",강남구,563189,92668
"합계",송파구,654127,115654
"합계",강동구,500002,93581
